ai_strategy,game_number,turns_to_win
RandomAI,878,93
RandomAI,879,97
RandomAI,880,98
RandomAI,881,100
RandomAI,882,95
RandomAI,883,99
RandomAI,884,91
RandomAI,885,95
RandomAI,886,84
RandomAI,887,97
RandomAI,888,100
RandomAI,889,84
RandomAI,890,99
RandomAI,891,100
RandomAI,892,85
RandomAI,893,94
RandomAI,894,97
RandomAI,895,84
RandomAI,896,93
RandomAI,897,100
RandomAI,898,100
RandomAI,899,97
RandomAI,900,93
RandomAI,901,100
RandomAI,902,97
RandomAI,903,100
RandomAI,904,95
RandomAI,905,96
RandomAI,906,99
RandomAI,907,98
RandomAI,908,100
RandomAI,909,97
RandomAI,910,89
RandomAI,911,95
RandomAI,912,96
RandomAI,913,100
RandomAI,914,99
RandomAI,915,88
RandomAI,916,99
RandomAI,917,100
RandomAI,918,98
RandomAI,919,91
RandomAI,920,95
RandomAI,921,97
RandomAI,922,100
RandomAI,923,96
RandomAI,924,100
RandomAI,925,100
RandomAI,926,100
RandomAI,927,100
RandomAI,928,100
RandomAI,929,94
RandomAI,930,98
RandomAI,931,98
RandomAI,932,97
RandomAI,933,84
RandomAI,934,82
RandomAI,935,93
RandomAI,936,98
RandomAI,937,89
RandomAI,938,93
RandomAI,939,98
RandomAI,940,98
RandomAI,941,97
RandomAI,942,93
RandomAI,943,83
RandomAI,944,95
RandomAI,945,98
RandomAI,946,98
RandomAI,947,100
RandomAI,948,81
RandomAI,949,98
RandomAI,950,100
RandomAI,951,100
RandomAI,952,100
RandomAI,953,96
RandomAI,954,94
RandomAI,955,98
RandomAI,956,97
RandomAI,957,90
RandomAI,958,86
RandomAI,959,97
RandomAI,960,98
RandomAI,961,98
RandomAI,962,100
RandomAI,963,98
RandomAI,964,95
RandomAI,965,100
RandomAI,966,96
RandomAI,967,100
RandomAI,968,100
RandomAI,969,96
RandomAI,970,97
RandomAI,971,100
RandomAI,972,93
RandomAI,973,93
RandomAI,974,99
RandomAI,975,81
RandomAI,976,100
RandomAI,977,97
RandomAI,978,95
RandomAI,979,97
RandomAI,980,96
RandomAI,981,88
RandomAI,982,99
RandomAI,983,93
RandomAI,984,98
RandomAI,985,97
RandomAI,986,99
RandomAI,987,98
RandomAI,988,100
RandomAI,989,90
RandomAI,990,93
RandomAI,991,87
RandomAI,992,94
RandomAI,993,100
RandomAI,994,96
RandomAI,995,94
RandomAI,996,88
RandomAI,997,92
RandomAI,998,93
RandomAI,999,99
RandomAI,1000,95
